'Category','Count','Average Rating'
'ART_AND_DESIGN',65,4.35806451612903
'AUTO_AND_VEHICLES',85,4.19041095890411
'BEAUTY',53,4.27857142857143
'BOOKS_AND_REFERENCE',231,4.34606741573034
'BUSINESS',460,4.12145214521452
'COMICS',60,4.1551724137931
'COMMUNICATION',387,4.15853658536585
'DATING',234,3.97076923076923
'EDUCATION',156,4.38903225806452
'ENTERTAINMENT',149,4.12617449664429
'EVENTS',64,4.43555555555556
'FAMILY',1972,4.19227246708644
'FINANCE',366,4.13188854489164
'FOOD_AND_DRINK',127,4.16697247706422
'GAME',1144,4.28632634457612
'HEALTH_AND_FITNESS',341,4.27710437710438
'HOUSE_AND_HOME',88,4.19736842105263
'LIBRARIES_AND_DEMO',85,4.17846153846154
'LIFESTYLE',382,4.09490445859872
'MAPS_AND_NAVIGATION',137,4.05161290322581
'MEDICAL',463,4.18914285714286
'NEWS_AND_MAGAZINES',283,4.13218884120172
'PARENTING',60,4.3
'PERSONALIZATION',392,4.3359872611465
'PHOTOGRAPHY',335,4.19211356466877
'PRODUCTIVITY',424,4.21139601139601
'SHOPPING',260,4.25966386554622
'SOCIAL',295,4.25559845559846
'SPORTS',384,4.22351097178684
'TOOLS',843,4.04741144414169
'TRAVEL_AND_LOCAL',258,4.10929203539823
'VIDEO_PLAYERS',175,4.06375
'WEATHER',82,4.244
